2025-03-17 17:17:47 - [x] Subskrybent nasłuchuje na kolejce 'probaataku'
2025-03-17 17:17:47 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:53:47 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"839e9ca1-5790-4b98-9e26-5af56dd2a609","Timestamp":"2025-03-17T16:53:47.5871414Z","Data":"Dane postaci"}
2025-03-17 17:53:47 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"45cbbfdf-ff0c-4009-b545-9704e0d17000","Timestamp":"2025-03-17T16:53:47.620345Z","Data":"Dane ataku"}
2025-03-17 17:53:51 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"250fc68d-4486-41f6-8f0e-5e2eb5047f80","Timestamp":"2025-03-17T16:53:51.3888118Z","Data":"Dane postaci"}
2025-03-17 17:53:51 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"99d31d55-df25-468e-8d7c-736be9e80b11","Timestamp":"2025-03-17T16:53:51.4217416Z","Data":"Dane ataku"}
2025-03-17 17:53:55 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"b01e55ef-f329-43bf-ac99-ecb876d46095","Timestamp":"2025-03-17T16:53:55.0697407Z","Data":"Dane postaci"}
2025-03-17 17:53:55 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"6ad0fec1-e5ec-4d8e-8cf2-b03f50a0aa7f","Timestamp":"2025-03-17T16:53:55.1049362Z","Data":"Dane ataku"}
2025-03-17 17:54:02 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"96f38fa3-dac2-4cfb-b9ae-4d52da4adce8","Timestamp":"2025-03-17T16:54:02.5837477Z","Data":"Dane postaci"}
2025-03-17 17:54:02 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"536cb72b-c578-4a24-8080-382f46a9db7a","Timestamp":"2025-03-17T16:54:02.6189848Z","Data":"Dane ataku"}
2025-03-17 17:54:06 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"e904d7ff-041d-4bf2-9bb2-9955b8df50ce","Timestamp":"2025-03-17T16:54:06.8852894Z","Data":"Dane postaci"}
2025-03-17 17:54:06 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"1399e19b-ea89-4934-b8ec-3635c7a02ba5","Timestamp":"2025-03-17T16:54:06.9242046Z","Data":"Dane ataku"}
2025-03-17 17:54:13 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"3fee5b2e-b046-468f-a576-126fca8b677b","Timestamp":"2025-03-17T16:54:13.4750301Z","Data":"Dane postaci"}
2025-03-17 17:54:13 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"d2c4f5bb-edc1-4081-9282-63b03a03d1cc","Timestamp":"2025-03-17T16:54:13.5092617Z","Data":"Dane ataku"}
2025-03-17 17:54:18 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"fe273427-ece1-438b-8e5e-8562db1bab10","Timestamp":"2025-03-17T16:54:18.7157013Z","Data":"Dane postaci"}
2025-03-17 17:54:18 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"f2d49293-d294-49f1-9f51-d2e059b7628c","Timestamp":"2025-03-17T16:54:18.7534575Z","Data":"Dane ataku"}
2025-03-17 17:54:27 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"03e3093e-3d2c-4d63-811f-3ea5a60ed29f","Timestamp":"2025-03-17T16:54:27.2683338Z","Data":"Dane postaci"}
2025-03-17 17:54:27 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"6d8589c8-acec-4f0e-8346-5430bc91a3b4","Timestamp":"2025-03-17T16:54:27.3136483Z","Data":"Dane ataku"}
2025-03-17 17:54:31 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"31c770df-b6b9-420c-9248-4676b4e8d7e4","Timestamp":"2025-03-17T16:54:31.4277174Z","Data":"Dane postaci"}
2025-03-17 17:54:31 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"592da33a-4041-4dda-b054-76dd69894957","Timestamp":"2025-03-17T16:54:31.4628732Z","Data":"Dane ataku"}
2025-03-17 17:54:39 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"a7e07442-b6e5-49a4-a3ae-2875523b8434","Timestamp":"2025-03-17T16:54:39.78893Z","Data":"Dane postaci"}
2025-03-17 17:54:39 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"22edfe29-77e2-4308-9f81-c49b2f84bc58","Timestamp":"2025-03-17T16:54:39.8238485Z","Data":"Dane ataku"}
2025-03-17 17:54:49 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"f5e738fe-f40a-4de0-b3c9-d601e78446cb","Timestamp":"2025-03-17T16:54:49.5124167Z","Data":"Dane postaci"}
2025-03-17 17:54:49 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"bc852e20-305e-4557-832d-266df29e4062","Timestamp":"2025-03-17T16:54:49.5458357Z","Data":"Dane ataku"}
2025-03-17 17:54:59 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"e4e95a74-cc0a-48f4-bf56-7766d36c6ba7","Timestamp":"2025-03-17T16:54:59.1895373Z","Data":"Dane postaci"}
2025-03-17 17:54:59 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"52118c8a-35db-4062-8e6d-d78f6227b71c","Timestamp":"2025-03-17T16:54:59.223739Z","Data":"Dane ataku"}
2025-03-17 17:55:03 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"9ad13b0a-f177-4b9a-acf0-6a51f356ee3e","Timestamp":"2025-03-17T16:55:03.7412147Z","Data":"Dane postaci"}
2025-03-17 17:55:03 - [x] Opublikowano wiadomość do kolejki 'udanyatak': {"EventId":"99554b96-82c2-4d81-bc85-11d1579c50b9","Timestamp":"2025-03-17T16:55:03.7741389Z","Data":"Dane ataku"}
2025-03-17 17:55:12 - [x] Odebrano wiadomość z kolejki 'probaataku': {"EventId":"cbc9d15f-6034-4d0c-b108-3564a099afbd","Timestamp":"2025-03-17T16:55:12.0622038Z","Data":"Dane postaci"}
