2025-03-17 17:17:43 - [x] Subskrybent nasłuchuje na kolejce 'zapispostaci'
2025-03-17 17:17:43 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:55:19 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"85ebb37a-1cc3-45bf-ab47-cf4f78a5d06e","Timestamp":"2025-03-17T16:55:19.3398023Z","Data":"Dane postaci"}
2025-03-17 17:55:27 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"9b3ecb9d-bbd5-444b-9ec9-df79abc37e36","Timestamp":"2025-03-17T16:55:27.7225106Z","Data":"Dane postaci"}
2025-03-17 17:55:31 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"e285ebe2-eb5f-4850-a310-0f63c226134f","Timestamp":"2025-03-17T16:55:31.9187006Z","Data":"Dane postaci"}
2025-03-17 17:55:39 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"0350faef-9167-4b95-b73a-33a61cb1e347","Timestamp":"2025-03-17T16:55:39.3707947Z","Data":"Dane postaci"}
2025-03-17 17:55:47 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"7819e235-15b9-40e2-9d87-4ace17d6e456","Timestamp":"2025-03-17T16:55:47.7372638Z","Data":"Dane postaci"}
2025-03-17 17:55:51 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"9d7445ca-edc9-4c10-9818-bce0f0ac7f19","Timestamp":"2025-03-17T16:55:51.9311599Z","Data":"Dane postaci"}
2025-03-17 17:55:59 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"6edef7fb-3e5c-4c0e-b9c1-8db4d999727e","Timestamp":"2025-03-17T16:55:59.3967603Z","Data":"Dane postaci"}
2025-03-17 17:56:07 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"437acf54-67c9-4b62-8477-4797ea8ca645","Timestamp":"2025-03-17T16:56:07.763133Z","Data":"Dane postaci"}
2025-03-17 17:56:11 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"b8dfb5b8-6084-4b6a-8f57-1b9ffbe0869a","Timestamp":"2025-03-17T16:56:11.9543171Z","Data":"Dane postaci"}
2025-03-17 17:56:19 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"d119b2d5-1af3-43cd-a593-8f8fb0f19506","Timestamp":"2025-03-17T16:56:19.4280999Z","Data":"Dane postaci"}
2025-03-17 17:56:27 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"1e6e79be-647b-4491-905d-5c2b66c5a2fa","Timestamp":"2025-03-17T16:56:27.7903591Z","Data":"Dane postaci"}
2025-03-17 17:56:32 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"00daebdf-e8d2-4ba5-8876-abfa897eca4b","Timestamp":"2025-03-17T16:56:31.975714Z","Data":"Dane postaci"}
2025-03-17 17:56:39 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"de42c429-d9e5-4424-9829-6e7f1ce3ec3e","Timestamp":"2025-03-17T16:56:39.4444916Z","Data":"Dane postaci"}
2025-03-17 17:56:47 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"4aacdd93-43d5-483d-a388-9852489bbb96","Timestamp":"2025-03-17T16:56:47.8139434Z","Data":"Dane postaci"}
2025-03-17 17:56:52 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"41db57a3-f59d-4b5e-9c4f-39ed72f1209d","Timestamp":"2025-03-17T16:56:51.9915157Z","Data":"Dane postaci"}
2025-03-17 17:56:59 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"aa84e008-b357-4463-b9d8-fec011c8e7bc","Timestamp":"2025-03-17T16:56:59.466164Z","Data":"Dane postaci"}
2025-03-17 17:57:07 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"8e973303-37d0-41d2-8c6e-1be1a49f5c74","Timestamp":"2025-03-17T16:57:07.8367256Z","Data":"Dane postaci"}
2025-03-17 17:57:12 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"3ebd0507-4bcc-45f8-8a83-756eb9c201d2","Timestamp":"2025-03-17T16:57:12.0083749Z","Data":"Dane postaci"}
2025-03-17 17:57:19 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"718fefa9-86bf-4eac-92e2-0d7b84672687","Timestamp":"2025-03-17T16:57:19.4977524Z","Data":"Dane postaci"}
2025-03-17 17:57:27 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"96231988-40d7-45b0-be6f-b854b4d0b5ca","Timestamp":"2025-03-17T16:57:27.8476329Z","Data":"Dane postaci"}
2025-03-17 17:57:32 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"cfef22d2-724e-4d72-a062-b373c3035148","Timestamp":"2025-03-17T16:57:32.0179234Z","Data":"Dane postaci"}
2025-03-17 17:57:39 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"afa478de-5ffc-4b6c-b18c-df034c6c94cf","Timestamp":"2025-03-17T16:57:39.5257728Z","Data":"Dane postaci"}
2025-03-17 17:57:47 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"5558e018-f577-41a9-bd03-b575988eb643","Timestamp":"2025-03-17T16:57:47.8622661Z","Data":"Dane postaci"}
2025-03-17 17:57:52 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"ebf4f414-39c5-45d3-8863-284be7e2bc13","Timestamp":"2025-03-17T16:57:52.027195Z","Data":"Dane postaci"}
2025-03-17 17:57:59 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"04b0af9f-4e72-4fc3-a6a6-04abe268c745","Timestamp":"2025-03-17T16:57:59.5464749Z","Data":"Dane postaci"}
2025-03-17 17:58:07 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"87e54f5a-abf9-4d90-bfd9-af61945bd2c5","Timestamp":"2025-03-17T16:58:07.8740241Z","Data":"Dane postaci"}
2025-03-17 17:58:12 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"d5dda03c-f4cb-427e-814c-d49170a2c6ae","Timestamp":"2025-03-17T16:58:12.05679Z","Data":"Dane postaci"}
2025-03-17 17:58:19 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"4d61dac2-a5d4-4dab-8986-ce1772664fbb","Timestamp":"2025-03-17T16:58:19.5633719Z","Data":"Dane postaci"}
2025-03-17 17:58:27 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"347a434d-7c51-4b58-9f0e-27af1b0626e1","Timestamp":"2025-03-17T16:58:27.890036Z","Data":"Dane postaci"}
2025-03-17 17:58:32 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"413c3216-828f-4489-894d-a8d19172aae9","Timestamp":"2025-03-17T16:58:32.0722049Z","Data":"Dane postaci"}
2025-03-17 17:58:39 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"a05ad441-4784-4b9f-887b-76c36064b46a","Timestamp":"2025-03-17T16:58:39.5941571Z","Data":"Dane postaci"}
2025-03-17 17:58:47 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"4f221d80-2a52-4b6f-8c29-1e7caa856feb","Timestamp":"2025-03-17T16:58:47.9143872Z","Data":"Dane postaci"}
2025-03-17 17:58:52 - [x] Odebrano wiadomość z kolejki 'zapispostaci': {"EventId":"70f42d59-5d01-4756-b3a6-f562bd1f0cbb","Timestamp":"2025-03-17T16:58:52.1037451Z","Data":"Dane postaci"}
2025-03-17 18:00:53 - [x] Subskrybent nasłuchuje na kolejce 'zapispostaci'
2025-03-17 18:00:53 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
