2025-03-17 17:17:48 - [x] Subskrybent nasłuchuje na kolejce 'udanyatak'
2025-03-17 17:17:48 - Nasłuchiwanie rozpoczęte. Naciśnij dowolny klawisz, aby zakończyć.
2025-03-17 17:56:17 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"673b16e2-78bb-4ce6-8cdb-dc77c460ef68","Timestamp":"2025-03-17T16:56:17.9519458Z","Data":"Dane ataku"}
2025-03-17 17:56:27 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"ae6961f6-bb81-4a0c-baf6-22e2d4d85860","Timestamp":"2025-03-17T16:56:27.0202194Z","Data":"Dane ataku"}
2025-03-17 17:56:35 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"3ad4e68e-32ec-4a4c-a7cb-4f0cdbf35cb1","Timestamp":"2025-03-17T16:56:35.3309409Z","Data":"Dane ataku"}
2025-03-17 17:56:39 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"3151c194-82b8-4e23-b527-99a7ffedc5ea","Timestamp":"2025-03-17T16:56:39.1077627Z","Data":"Dane ataku"}
2025-03-17 17:56:42 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"10e21bc1-766e-4b6e-80c1-790ea5605130","Timestamp":"2025-03-17T16:56:42.5931985Z","Data":"Dane ataku"}
2025-03-17 17:56:49 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"85f3ca92-2f58-445f-a274-0b833d2384fb","Timestamp":"2025-03-17T16:56:49.7672238Z","Data":"Dane ataku"}
2025-03-17 17:56:58 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"05b99a09-c49d-443a-9f72-2b7e4419e324","Timestamp":"2025-03-17T16:56:58.9495661Z","Data":"Dane ataku"}
2025-03-17 17:57:04 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"c9f79156-48de-4395-aad7-140761c03a6f","Timestamp":"2025-03-17T16:57:04.0427856Z","Data":"Dane ataku"}
2025-03-17 17:57:13 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"ce03494f-efe2-4b3a-badb-0684e2873a2c","Timestamp":"2025-03-17T16:57:13.4200406Z","Data":"Dane ataku"}
2025-03-17 17:57:18 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"61542d88-8f62-41c4-8cbd-977774a5b07d","Timestamp":"2025-03-17T16:57:18.2126076Z","Data":"Dane ataku"}
2025-03-17 17:57:21 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"d92fc739-6fef-4f0f-a26b-4b3685382ede","Timestamp":"2025-03-17T16:57:21.3011335Z","Data":"Dane ataku"}
2025-03-17 17:57:28 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"abf03c73-cb65-4fde-a436-820ad6d76e84","Timestamp":"2025-03-17T16:57:28.8008088Z","Data":"Dane ataku"}
2025-03-17 17:57:37 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"b6d9b745-15f6-45ed-ab4a-62c31cb18665","Timestamp":"2025-03-17T16:57:37.5914779Z","Data":"Dane ataku"}
2025-03-17 17:57:42 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"f7773a38-be72-4745-ba3e-f1d4512291cb","Timestamp":"2025-03-17T16:57:42.9519076Z","Data":"Dane ataku"}
2025-03-17 17:57:46 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"9bf9035b-1e13-4f93-8c30-2d0185ae502a","Timestamp":"2025-03-17T16:57:46.7628232Z","Data":"Dane ataku"}
2025-03-17 17:57:55 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"07033939-2593-4cfe-b184-ab916aa538b0","Timestamp":"2025-03-17T16:57:54.9792095Z","Data":"Dane ataku"}
2025-03-17 17:57:59 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"1511af10-8b3e-4de1-af52-89d18d9dcc34","Timestamp":"2025-03-17T16:57:59.1920369Z","Data":"Dane ataku"}
2025-03-17 17:58:06 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"1e594611-33f3-4596-8163-472f2588199b","Timestamp":"2025-03-17T16:58:06.9562104Z","Data":"Dane ataku"}
2025-03-17 17:58:14 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"ca5c2f98-42ca-4c39-a60b-9e1be2ff4139","Timestamp":"2025-03-17T16:58:14.2545997Z","Data":"Dane ataku"}
2025-03-17 17:58:21 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"9ef8782a-426b-42f4-8490-cfbc06fc423c","Timestamp":"2025-03-17T16:58:21.1343797Z","Data":"Dane ataku"}
2025-03-17 17:58:28 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"7ce08ec5-dc35-4eee-8183-c8bacc967f8c","Timestamp":"2025-03-17T16:58:28.8023405Z","Data":"Dane ataku"}
2025-03-17 17:58:37 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"9edb08fc-8284-4c53-ad06-aa642334d06f","Timestamp":"2025-03-17T16:58:37.3339579Z","Data":"Dane ataku"}
2025-03-17 17:58:44 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"fa8fab5f-6b7b-4270-bd98-af93ddda3324","Timestamp":"2025-03-17T16:58:44.730149Z","Data":"Dane ataku"}
2025-03-17 17:58:48 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"ae76a6da-715c-4ce7-9d85-0dd7f26846f4","Timestamp":"2025-03-17T16:58:47.9938316Z","Data":"Dane ataku"}
2025-03-17 17:58:54 - [x] Odebrano wiadomość z kolejki 'udanyatak': {"EventId":"e6f91a23-921c-4c2d-918c-adfeaa1ed9e2","Timestamp":"2025-03-17T16:58:54.6435445Z","Data":"Dane ataku"}
